,name,title,organization,board_years,join_year,description
99,Junot Díaz,author and Rudge and Nancy Allen Professor of Writing,Massachusetts Institute of Technology,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2010,"A creative writing professor at the Massachusetts Institute of Technology, Junot Díaz won the 2008 Pulitzer Prize for Fiction for his best-selling first novel, The Brief Wondrous Life of Oscar Wao.The Pulitzer Board described the work as “a dazzling, richly layered novel about an overweight, nerdy Dominican-American teenager who comes of age in a multi-generational immigrant family, devouring comic books, spinning fantasies and searching for love.”Widely acclaimed, the book also won the John Sargent Sr. First Novel Prize, the National Book Critics Circle Award, the Anisfield-Wolf Book Award and the Dayton Literary Peace Prize. “Funny, street-smart and keenly observed,” a New York Times review of the novel said. “An extraordinarily vibrant book that’s fueled by adrenaline-powered prose.”Díaz was born in Santo Domingo, Dominican Republic, and emigrated to New Jersey as a child. Working his way through college, he graduated from Rutgers University with a degree in English.Díaz preceded his Pulitzer-winning work with Drown, a debut collection of 10 short stories narrated by adolescent Dominican males living in hard-pressed communities in the Dominican Republic, New York and New Jersey. “These stories,” said Publisher’s Weekly, “chronicle their outwardly cool but inwardly anguished attempts to recreate themselves in the midst of eroding family structures and their own burgeoning sexuality.”Díaz’s fiction has also appeared in The New Yorker, African Voices, Best American Short Stories (1996, 1997, 1999, 2000), in Pushcart Prize XXII and in The O'Henry Prize Stories 2009. He is the fiction editor at the Boston Review.Much in demand as a speaker, Díaz has been honored frequently for his work. He has received a Eugene McDermott Award, a fellowship from the John Simon Guggenheim Memorial Foundation, a Lila Acheson Wallace Readers Digest Award, the 2002 Pen/Malamud Award, the 2003 US-Japan Creative Artist Fellowship from the National Endowment for the Arts, a fellowship at the Radcliffe Institute for Advanced Study at Harvard University and the Rome Prize from the American Academy of Arts and Letters.Diaz joined the Pulitzer Prize Board in 2010."
100,Eugene Robinson,Columnist and Associate Editor,The Washington Post,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2010,"Eugene Robinson is a columnist and associate editor of The Washington Post, where he has worked since 1980. His twice-weekly column on the paper’s op-ed page debuted in February 2005 and is now syndicated by the Washington Post Writers Group to 262 newspapers.In 2009, Robinson won the Pulitzer Prize for Commentary for his columns about the 2008 presidential campaign and the election of President Barack Obama.Before becoming a columnist, Robinson held a variety of jobs at at the Post, including city hall reporter, city editor, South America correspondent, London bureau chief, foreign editor and assistant managing editor. During the 1987-88 academic year, he was a Nieman Fellow at Harvard University.A native of Orangeburg, S.C., Robinson graduated from Orangeburg High School, where he was one of a handful of black students on a previously all-white campus. At the University of Michigan, he was the first black co-editor-in-chief of the student newspaper, The Michigan Daily. He began his career at the San Francisco Chronicle, where he participated in coverage of the Patty Hearst kidnapping.For nearly a decade, Robinson has appeared regularly as a political analyst and commentator on MSNBC. A member of the National Association of Black Journalists, he was elected to the organization’s hall of fame.Robinson is the author of three books: Coal to Cream: A Black Man’s Journey Beyond Color to an Affirmation of Race; Last Dance in Havana; and Disintegration: The Splintering of Black America. He is married, has two sons and lives in Arlington, Va.Robinson joined the Pulitzer Prize Board in 2010."
101,Robert Blau,Executive Editor of Projects and Investigations,Bloomberg News,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",2011,"Robert Blau, a New York City native, has carved an eclectic path up the journalistic ranks. He wrote about music, reviewed movies and covered the police beat, before turning his attention to investigative reporting and editing. Following a Nieman Fellowship at Harvard University in 1997, he began overseeing all major enterprise at the Chicago Tribune, including its years-long probe of the failures of the criminal justice system in Illinois, which yielded numerous reforms and was emulated by news organizations across the country. In 2004, he was named managing editor of the Baltimore Sun, where he helped reengineer a web-first newsroom and led the paper's award-winning journalism. Blau joined Bloomberg News in 2008, where he directs a global team of investigative reporters and feature writers in collaboration with Businessweek magazine. Its projects have forced unprecedented transparency from the Fed, documented the human cost of the mining and cotton industries, and revealed how hedge funds recently exploited the Brexit vote. During his career, the stories Blau has shepherded have won numerous journalistic accolades, including the Polk, Loeb, Investigative Reporters and Editors, Goldsmith, Overseas Press Club and Pulitzer prizes. He is the author of ""The Cop Shop,"" a memoir of covering crime in Chicago. He serves on the Nieman Foundation advisory board.Blau joined the Pulitzer Prize Board in 2011."
102,Steven Hahn,Professor of History,New York University,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",2011,"Steven Hahn is a professor of history at New York University. He holds a B.A. from the University of Rochester, and an M.A. and Ph.D. from Yale University.Hahn is a historian of the United States during the 19th century, of slavery and emancipation in the Atlantic world, of African American history, and the history of popular politics. His major publications include ""A Nation Without Borders: The United States and Its World in an Age of Civil Wars, 1830-1910""; ""The Political Worlds of Slavery and Freedom""; ""Freedom: A Documentary History of Emancipation""; ""Land and Labor in 1865""; ""A Nation Under Our Feet: Black Political Struggles in the Rural South from Slavery to the Great Migration""; ""The Countryside in the Age of Capitalist Transformation: Essays on the Social History of Rural America""; and ""The Roots of Southern Populism: Yeoman Farmers and the Transformation of the Georgia Upcountry, 1850-1890."" He serves as a member of the Pulitzer Prize Board, on several editorial boards, and as an occasional historical expert in cases related to racial discrimination.In the past, Hahn has received the Pulitzer Prize in History (2004), the Bancroft Prize in American History (2004), the Merle Curti Prize in Social History (2004), the Frederick Jackson Turner Prize (1984), and the Allan Nevins Prize (1980). He has also received fellowships from the Guggenheim Foundation, the ACLS, the NEH, the Center for Advanced Study in the Behavioral Sciences at Stanford, and the Huntington Library. Before coming to NYU, he was on the faculty of the University of Delaware, the University of California, San Diego, Northwestern University, and the University of Pennsylvania. Hahn joined the Pulitzer Prize Board in 2011."
103,Margaret Sullivan,editor,The Buffalo News,[2012],2011,"Margaret M. Sullivan, editor of The Buffalo News, is a proponent of investigative reporting and journalistic service to the community.Rising through the ranks, Margaret Sullivan was named editor of The News in 1999, the first woman to hold that position in the newspaper’s 131-year history. Previously, she was the paper's first female managing editor.In 2001, Sullivan was given the additional title of vice president, another first for a woman at The News.As editor, Sullivan established The News' first investigative team, helped develop Western New York's leading Website, BuffaloNews.com, and has emphasized local enterprise reporting.Under her leadership, The News has been honored by the New York News Publishers Association for the last seven years with its award for Distinguished Community Service.The most recent award was for a four-part series on airline safety – ""Who's Flying Your Airplane?"" – produced in the aftermath of the Continental Connection Flight 3407 crash that took 50 lives in February 2009. The series shed light on flaws in pilot training and inadequate rules regarding pilot fatigue, helping lead to federal aviation reforms.For coverage of the crash and a range of other work, the New York State Associated Press Association in 2009 honored The News as the state's Newspaper of Distinction in the largest circulation category.Sullivan has served four times as a Pulitzer Prize juror, and in 2006 chaired the jury for Commentary. She is a director of the American Society of News Editors and has chaired its First Amendment committee.A native of Lackawanna, N.Y., Sullivan is a graduate of Georgetown University and Northwestern University's Medill School of Journalism, where she is a member of its Hall of Achievement.After an internship at The News in 1980, she joined the staff. Her career has included assignments as a reporter on business and government, metro columnist, assistant city editor, and assistant managing editor for features.Nationally, Sullivan's recent writings include an essay in the anthology ""The Edge of Change: Women in the 21st Century Press.""Internationally, her travels have included six weeks in India, where her meeting with Mother Teresa, she says, left an indelible impression. One of her goals is to visit all the continents. Still to go: Africa, Australia and Antarctica.Sullivan serves on the board of trustees at Nardin Academy, her alma mater, where she is a member of its Hall of Fame. In 2007, she was inducted into the Western New York Women's Hall of Fame.Her son is a second-year law student at Harvard, and her daughter is a sophomore at NYU.Sullivan teaches media writing at Buffalo State College, and enjoys tennis and yoga.Margaret Sullivan joined the Pulitzer Prize Board in 2011."
104,Paul Tash,chairman and CEO,Tampa Bay Times,"[2012, 2013, 2014]",,"Paul C. Tash is the chairman and CEO of the Tampa Bay Times and the Times Publishing Company, St. Petersburg, Fla.A native of South Bend, Indiana, Tash graduated summa cum laude from Indiana University in 1976. He received a Marshall Scholarship and graduated magna cum laude with a bachelor of laws degree from Edinburgh University in Scotland in 1978.He started with the Times that fall as a local news reporter. He also has been a Tallahassee reporter, the city editor, metropolitan editor, Washington bureau chief and executive editor for the Times. From 1990-91, Tash was the editor and publisher of Florida Trend, a statewide business magazine owned by the Times Publishing Company.Tash is chairman of the Poynter Institute for Media Studies, a school for journalists, which owns Times Publishing. He also serves on the board of the Pulitzer Prizes, the Associated Press, the Committee to Protect Journalists and the Newspaper Association of America. Tash is a director of Western Communications, an independent newspaper company based in Bend, Oregon, and he is a member of the Florida Council of 100, a group of business leaders.Tash is married to the former Karyn Krayer of St. Petersburg, a high school teacher, and they have two daughters in college.The Tampa Bay Times is an independent newspaper and Florida's largest daily, with an average circulation of 330,000 and 410,000 on Sunday. The Times has won eight Pulitzer Prizes, and it is consistently ranked among the country's best newspapers.Tash joined The Pulitzer Prize Board in 2006."
105,Steve Coll,Dean,"Graduate School of Journalism, Columbia University","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",,"Columbia Journalism School Dean Steve Coll is a staff writer at The New Yorker, the author of eight books of nonfiction, and a two-time winner of the Pulitzer Prize. Between 1985 and 2005, he was a reporter, foreign correspondent and senior editor at The Washington Post. There he covered Wall Street, served as the paper’s South Asia correspondent in New Delhi, and was the Post’s first international investigative correspondent, based in London. He served as managing editor of the Post between 1998 and 2004. The following year, he joined The New Yorker, where he has written on international politics, American politics and national security, intelligence controversies and the media. Coll is the author of ""Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden, From the Soviet Invasion to September 10, 2001,"" published in 2004, for which he received an Overseas Press Club Award and a Pulitzer Prize. His 2008 book, ""The Bin Ladens: An Arabian Family in the American Century,"" won the PEN/John Kenneth Galbraith Award for Nonfiction in 2009 and was a finalist for the Pulitzer Prize for Biography. His most recent books are ""Private Empire: ExxonMobil and American Power"" (2012), which won the Financial Times/Goldman Sachs Award as the best business book of 2012, and ""Directorate S: The CIA and America's Secret Wars in Afghanistan and Pakistan, 2001–2016"" (2018).He has four children and is married to Eliza Griswold, the journalist and poet. He has a B.A. in English and history from Occidental College. Coll was elected to the Pulitzer Prize Board in 2012 before becoming an ex officio member as dean in 2013."
106,Stephen Engelberg,Editor-in-Chief,ProPublica,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",2012,"Stephen Engelberg became ProPublica's editor-in-chief on Jan. 1, 2013. He oversees its day-to-day editorial operations, long-term projects and Web strategy. During his time as managing editor, ProPublica became the first online news organization to win Pulitzer Prizes. In 2010, it won the Investigative Reporting prize for chronicling the life-and-death decisions by a hospital’s exhausted doctors when they were isolated by the floodwaters of Hurricane Katrina. A year later, it won the National Reporting prize for exposing Wall Street practices that contributed to the nation’s economic meltdown.Before joining ProPublica, he worked for The Norfolk Virginian-Pilot, The Dallas Morning News, The New York Times and The Oregonian of Portland, Ore., where he was a managing editor. During his years at The Oregonian, the paper won the Pulitzer for Breaking News Reporting and was a finalist for its investigative work on methamphetamines and on charities intended to help the disabled.Engelberg was with The Times for 18 years, including stints in Washington, DC, and Warsaw, Poland, as well as in New York. After serving as the bureau chief in Warsaw following the collapse of Communism, he resumed work as an investigative reporter. Engelberg shared in two George Polk Awards for reporting: the first, in 1989, for articles on nuclear proliferation; the second, in 1994, for articles on U.S. immigration. He was a finalist for the Pulitzer Prize as a reporter in 1998 for an investigation of the crash of a commuter airplane.Since 1996, Engelberg has concentrated on editing investigative projects. Engelberg was the first editor of The Times’ investigative unit and directed teams of reporters who won Pulitzer Prizes for national, foreign and explanatory journalism. Among the winning projects were ones that examined Mexican corruption (published in 1997) and the rise of Al Qaeda (published beginning in January 2001).Engelberg is the co-author of ""Germs: Biological Weapons and America’s Secret War."" He shared an Emmy in 2001 for work on a documentary on biological warfare by the PBS program Nova.A native of Lexington, Mass., Engelberg graduated from Princeton University in 1979 with a degree in history. He lives in Montclair, N.J., with his wife, Gabrielle Glaser, and three daughters.Engelberg joined the Pulitzer Prize Board in 2012."
107,Quiara Alegría Hudes,playwright,,"[2013, 2014, 2015]",,"A playwright and educator, Quiara Alegría Hudes won the 2012 Pulitzer Prize for Drama for her play Water by the Spoonful. Variety hailed the play as “a combination poem, prayer and app on how to cope in an age of uncertainty, speed and chaos.”Hudes made her New York debut with the drama Elliot, A Soldier’s Fugue, which was a finalist for the Pulitzer Prize for Drama in 2007. The New York Times welcomed Hudes' ""confident and arresting voice,"" calling the play ""a theater work that succeeds on every level while creating something new.""Hudes’ book for Broadway’s In the Heights was also a Pulitzer finalist and a Tony nominee, and the piece won the Tony Award for Best Musical in 2008 before touring nationally and internationally to widespread acclaim. New York magazine called In the Heights ""an extraordinary blend of old and new, a stylistically groundbreaking 21st-century musical.""Originally trained as a musician, Hudes studied classical piano, Afro-Cuban piano, American music, and composition. She received a bachelor’s degree in music composition from Yale University and a master of fine arts degree in playwriting from Brown University. Though she no longer composes, Hudes continues to engage music as a deep and common thread in her playwriting. She has collaborated with master musicians like Michel Camilo and Nelson Gonzales, folding their profound musical expression into her dramatic structures.Hudes serves on the Dramatists Guild Council and as a Board Member at Philadelphia Young Playwrights, the organization that produced her first play in the 10th grade. Much of Hudes’ writing is set in Philadelphia, her hometown. She has been honored for her creative exploration of that city’s divergent communities, including a Resolution from the City of Philadelphia and her personal favorite honor – being among the first group of women inducted into the Central High School Hall of Fame since the public school’s founding in 1836.Hudes lives in New York with her husband and daughter.Quiara Alegría Hudes joined The Pulitzer Prize Board in 2012."
108,Aminda Marqués Gonzalez,Vice President and Executive Editor,Simon & Schuster,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",2012,"Simon & Schuster announced today that Aminda (Mindy) Marqués González will join the company’s adult trade publishing imprint as Vice President and Executive Editor, starting on November 30th.“I am thrilled that Mindy Marqués is joining Simon & Schuster and bringing her unique and extensive story-telling expertise to our imprint. Mindy will help broaden the range of voices and stories we publish, and will help us expand further into diverse and underrepresented markets,” said Dana Canedy, Senior Vice President and Publisher of Simon & Schuster. “Mindy is an award-winning national journalist and newsroom executive who has led coverage of some of the most historic events of our time. As co-chairperson of the Pulitzer Prize Board, she also brings a unique perspective to evaluating books.”Marqués added, “I have spent much of my career helping to find and tell the hidden stories of diverse, dynamic and complex communities. Most often, they begin as local and regional stories but they resonate nationally. With Simon & Schuster I will have the privilege to expand the audience for these stories and to help find fresh new voices and authors that represent the rich tapestry of this country. In journalism, the most powerful stories combine deep reporting with beautifully woven narratives. My plan is to bring that sensibility to my new role.”Aminda (Mindy) Marqués González is currently Senior Vice President/News and Executive Editor of the Miami Herald Media Company and McClatchy’s Florida Regional Editor, which includes Miami Herald, el Nuevo Herald, Bradenton Herald, the Keys digital products and the Tallahassee bureau.Born in New York to Cuban immigrant parents, Marqués began her career as an intern at the Miami Herald and rose through the ranks to become the paper’s first Hispanic editor in 2010. She is only the second woman to hold the post.Her career has included assignments as a metro reporter, assistant city editor and deputy metro editor, directing the Miami Herald’s local, state and community news operations. She also was Miami bureau chief for People magazine, overseeing coverage for the southeast U.S., the Caribbean and Latin America.She returned to the Miami Herald in 2007, where she was a multimedia editor and Sunday/features editor before being named managing editor in May 2010 and executive editor in October 2010.During her tenure as executive editor, the Miami Herald has won two Pulitzer Prizes and has been a finalist four times. In 2017, the Herald was awarded two Pulitzers, for explanatory reporting and editorial cartooning. The Herald was a finalist in public service for an investigative series detailing Florida’s systemic failures in regulating assisted-living facilities (2012); in local reporting for a series that detailed a local drug sting operation that cost millions but yielded no arrests (2016); in investigative reporting for its series on juvenile prison abuses (2018); and in explanatory reporting for an investigation into money-laundering and Bank Secrecy Act violations in the multibillion-dollar gold trade between Latin America and the United States (2019). The Miami Herald has won a total of 22 Pulitzer Prizes in its history.Marqués is a 1986 graduate of the University of Florida, where she was honored as an Alumni of Distinction by the College of Journalism and Communications in 2012. She received the Presidential Impact award from the National Association of Hispanic Journalists in 2016 and was inducted into NAHJ’s Hall of Fame in 2018. She was awarded the Benjamin C. Bradlee Editor of the Year award in 2019.Marqués currently serves as co-chair on the Pulitzer Prize Board, the first Hispanic to serve in that capacity. She sits on the Dean’s Advisory Board for the School of Communications and Journalism at Florida International University, as well as the Lillian Lodge Kopenhaver Center for Women in Communication.Marqués joined the Pulitzer Prize Board in 2012."
109,Katherine Boo,Contributing Editor,The New Yorker,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2013,"Katherine Boo, a contributing editor for The New Yorker magazine, was a reporter at The Washington Post when her series on mistreatment of mentally challenged people in Washington, DC, resulted in the 2000 Pulitzer Prize for Public Service for The Post. The Pulitzer citation praised her work for exposing ""wretched neglect and abuse in the city’s group homes for the mentally retarded, which forced officials to acknowledge the conditions and begin reforms.""Boo is noted for her work focusing on poverty. In 2012, she won the National Book Award for Nonfiction for ""Behind the Beautiful Forevers: Life, Death and Hope in a Mumbai Undercity,"" which examined life in the airport slums of Mumbai, India. The book, which was a finalist for a Pulitzer Prize in Nonfiction, also won nonfiction prizes from PEN, the Los Angeles Times Book Awards, the New York Public Library and the American Academy of Arts and Letters.Reared in and around Washington, DC, Boo began her journalism career at the Washington City Paper and later worked at The Washington Monthly. She joined The Washington Post in 1993, serving first as an editor in the Outlook section, then as an investigative reporter. She left in 2001 to write for The New Yorker.One of her New Yorker articles, ""The Marriage Cure,"" examined efforts to teach poor people in an Oklahoma community about marriage in the hope that it would help them rise out of poverty. The piece won the National Magazine Award for Feature Writing in 2004. Another New Yorker article, ""After Welfare,"" won the 2002 Sidney Hillman Award, honoring work that advances social justice.Boo graduated summa cum laude from Barnard College and in 2002 received a MacArthur ""genius"" award. She is married to Sunil Khilnani, a writer and professor who directs the King’s India Institute at King’s College London.Boo joined the Pulitzer Prize Board in 2013."
110,Gail Collins,Opinion Columnist,The New York Times,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2013,"Gail Collins joined the editorial board of The New York Times in 1995 and six years later became the first woman editor of The Times’ editorial page. At the beginning of 2007, she stepped down and took a leave in order to finish a book, When Everything Changed: The Amazing Journey of American Women from 1960 to the Present. She returned to the paper as an Op-Ed columnist later in 2007.Before joining The New York Times, Collins was a columnist at New York Newsday and the New York Daily News. She also was a financial reporter for United Press International.Her first jobs in journalism were in Connecticut. She was a senior editor for Connecticut Magazine, a weekly columnist for the Connecticut Business Journal and the host of a public affairs program for Connecticut Public Television. She founded the Connecticut State News Bureau, which provided coverage of the state capitol and Connecticut politics. When she sold it in 1977, the CSNB was the largest news service of its kind in the country, with more than 30 weekly and daily newspapers.Collins’ most recent book is As Texas Goes: How the Lone Star State Hijacked the American Agenda, published in 2012. She is also the author of America’s Women, Scorpion Tongues: Gossip, Celebrity and American Politics, a biography of William Henry Harrison and The Millennium Book, which she co-authored with her husband, Dan Collins, a writer and editor.A native of Cincinnati, Collins is a graduate of Marquette University with a B.A. in journalism, and a graduate of the University of Massachusetts, Amherst, with an M.A. in government. She is a recipient of an Associated Press award for commentary, 1994; a Women in Communications Matrix Award, 1989; and a Meyer Berger Award, Columbia University, 1987. She was a Bagehot Fellow in Economic Journalism at Columbia in 1981-1982.Collins joined the Pulitzer Prize Board in 2013."
111,John Daniszewski,Vice President and Editor at Large for Standards,Associated Press,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2013,"John Daniszewski is the AP's vice president and editor at large for standards, working with journalists and editors around the world to ensure the highest levels of media ethics and fairness. From 2009 to 2016, he served as AP’s vice president for international news after three decades as a reporter, editor and correspondent assigned to more than 70 countries in Europe, Africa, the Middle East, Latin America and Asia. He was responsible for more than 500 editors and reporters in some 100 bureaus outside the United States producing coverage from some of the most complex and challenging news-gathering environments.Daniszewski played a central role in AP’s opening of the first Western news and photo bureau in Pyongyang, North Korea, in 2012, and the Yangon, Myanmar, bureau earlier in 2013 -- the first return to that country by a Western news agency after decades of strict military rule. He worked for the Los Angeles Times from 1996-2006, serving as bureau chief in Cairo, Moscow, Baghdad and London. In 2001, he covered the aftermath of the 9/11 attacks in Pakistan and Afghanistan, and he stayed in Baghdad throughout the U.S. invasion and the toppling of Saddam Hussein's regime in 2003. He was part of a team that won an Overseas Press Club award in 2007 and that was a Pulitzer Prize finalist that year for coverage of Iraq’s descent into civil war.Daniszewski began his journalism career as a stringer for the AP while an undergraduate at the University of Pennsylvania. He joined the AP staff in Philadelphia in 1979 and later worked in Harrisburg and on the national and international editing desks in New York. In 1987, he was assigned overseas to Warsaw, Poland. There he covered the revival of Solidarity and the end of Communist rule. In 1989, he was shot and wounded in Timisoara, Romania, during the uprising against Nicolae Ceausescu’s communist regime. He later covered wars across the former Yugoslavia, including the siege of Sarajevo. In 1993, he became AP’s bureau chief in Johannesburg, South Africa. He led the AP’s coverage of the election of President Nelson Mandela and the end of apartheid before leaving in 1996 to go to the Times. He returned to AP as international editor in 2006 and was named a managing editor the next year.Daniszewski graduated from the University of Pennsylvania’s Wharton School and the Sulzberger Media Leadership Program at Columbia University. An Ohio native, he is married to Dru Menaker, senior media advisor for the international development organization IREX. They live in Nyack, NY, and have two children in college, Benjamin and Anna. He is a member of the North American Committee of the International Press Institute and the Board of Governors of the Overseas Press Club Foundation.Daniszewski joined the Pulitzer Prize Board in 2013."
112,Neil Brown,President,Poynter Institute for Media Studies,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",,"Neil Brown is the president of The Poynter Institute. He joined Poynter in September 2017, after serving as the editor and vice president of the Tampa Bay Times.He was named editor of the Times (formerly the St. Petersburg Times) in May 2010, and in that capacity oversaw the journalism published in the Times, on its website tampabay.com, and in related products including a daily tabloid called tbt\*.During Brown's tenure leading the Times news staff, the paper won more national and state awards than at any time in its history, including six Pulitzer Prizes in the last eight years. He also launched PolitiFact.com, the fact-checking website that has been replicated nationally and inspired similar efforts worldwide.Brown first joined Times Publishing in 1988, serving as managing editor in Washington, DC at Congressional Quarterly, a former Times affiliate company. He came to the Times in 1993 as world editor in charge of national and international news and then as managing editor and executive editor. He was named to the Times Publishing Company's board in 1997 as a director and was made a vice president in 2001.A native of Chicago, Brown is a graduate of the University of Iowa, Phi Beta Kappa, with a bachelor's degree in political science and journalism. He began his newspaper career as a reporter and editor at The Miami Herald, covering government and politics in Miami and working in bureaus in Key West, Tallahassee and West Palm Beach.In 2015, Brown was elected to the Pulitzer Prize Board. He previously served four years as a Pulitzer Prize nominating juror in journalism. He is past president of the Florida Society of News Editors and served six years on the Board of Directors of the American Society of News Editors. In 2010, he was inducted into the Hall of Fame at the University of Iowa School of Journalism.Brown lives in St. Petersburg with his wife, journalist and author Gelareh Asayesh. They have two children."
113,Tommie Shelby,Caldwell Titcomb Professor of African and African American Studies and of Philosophy,Harvard University,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",2015,"Tommie Shelby is an Africana studies scholar whose writings focus on racial and economic justice and on the history of black political thought. He is the Caldwell Titcomb Professor of African and African American Studies and of Philosophy at Harvard.Shelby’s first book, ""We Who Are Dark: The Philosophical Foundations of Black Solidarity"" (2005), explores the relationship between race, identity, solidarity and justice through a philosophical reconsideration of leading African American thinkers from the era of slavery to the post-Jim Crow era. He coedited ""Hip Hop and Philosophy: Rhyme 2 Reason"" (2005), which brings the classic debates of Western philosophy to a general audience through the idiom of hip-hop culture, and ""To Shape a New World: Essays on the Political Philosophy of Martin Luther King, Jr."" (2018).He is also the author of ""Dark Ghettos: Injustice, Dissent, and Reform"" (2016). Characterized by Columbia University philosopher Robert Gooding-Williams as ""a major, groundbreaking contribution to both philosophical and public policy discourse about the ghetto poor,"" it received the 2016 Book Award from the North American Society for Social Philosophy.Shelby’s numerous academic articles have appeared in journals such as Philosophy & Public Affairs, Ethics, Political Theory, Critical Inquiry, Du Bois Review and Daedalus. He has also written for The New York Times Book Review, Boston Review, The Root and The Chronicle of Higher Education. From 2006 to 2014, he was co-editor of Transition, a literary and cultural magazine with a focus on Africa and its Diaspora.A native of Jacksonville, Fla., Shelby received his B.A. from Florida A&M University and Ph.D. from the University of Pittsburgh. He began his academic career as an assistant professor of philosophy at The Ohio State University. He has been on the faculty at Harvard since 2000.Shelby is married to the writer and editor Jessie Scanlon. They live with their daughter and son in Cambridge, Mass.Shelby joined the Pulitzer Prize Board in 2015."
